data_date,portfolio_value,unrealized_return
2026-01-30 00:31:27.358175+00:00,5157.23,319.81
2026-01-30 01:01:27.547826+00:00,5158.32,320.9
2026-01-30 01:31:27.382796+00:00,5157.53,320.11
2026-01-30 02:01:29.109618+00:00,5158.16,320.74
2026-01-30 02:31:30.284392+00:00,5156.85,319.43
2026-01-30 03:01:28.773607+00:00,5157.28,319.86
2026-01-30 03:31:27.841409+00:00,5157.47,320.05
2026-01-30 04:01:31.977467+00:00,5155.77,318.35
2026-01-30 04:31:27.156202+00:00,5155.08,317.66
2026-01-30 05:01:27.266304+00:00,5154.41,316.99
2026-01-30 05:31:27.800890+00:00,5154.67,317.25
2026-01-30 06:01:27.499397+00:00,5154.66,317.24
2026-01-30 06:31:27.824055+00:00,5154.75,317.33
2026-01-30 07:01:27.226395+00:00,5155.41,317.99
2026-01-30 07:31:31.380824+00:00,5153.42,316.0
2026-01-30 08:01:27.573178+00:00,5153.19,315.77
2026-01-30 08:31:27.926700+00:00,5143.63,306.21
2026-01-30 09:01:27.017894+00:00,5146.31,308.89
2026-01-30 09:31:27.344986+00:00,5134.72,297.3
2026-01-30 10:01:29.832813+00:00,5147.19,294.79
2026-01-30 10:31:27.414102+00:00,5149.44,297.04
2026-01-30 11:01:27.767361+00:00,5155.32,302.92
2026-01-30 11:31:31.312274+00:00,5162.55,310.15
2026-01-30 12:01:36.026417+00:00,5173.28,320.88
2026-01-30 12:31:30.289351+00:00,5179.16,321.77
2026-01-30 13:01:29.944409+00:00,5176.4,319.01
2026-01-30 13:31:27.689064+00:00,5171.75,314.36
2026-01-30 14:01:27.374115+00:00,5171.03,313.64
2026-01-30 14:31:27.111657+00:00,5178.21,320.82
2026-01-30 15:01:27.178554+00:00,5176.97,319.58
2026-01-30 15:31:30.974024+00:00,5177.25,319.86
2026-01-30 16:01:27.257479+00:00,5176.68,319.29
2026-01-30 16:31:27.626543+00:00,5166.23,308.84
2026-01-30 17:01:27.050190+00:00,5165.78,308.39
2026-01-30 17:31:27.257129+00:00,5164.71,307.32
2026-01-30 18:01:27.867879+00:00,5165.75,308.36
2026-01-30 18:31:27.148779+00:00,5165.52,308.13
2026-01-30 19:01:45.746278+00:00,5165.47,308.08
2026-01-30 19:31:37.940229+00:00,5165.7,308.31
2026-01-30 20:01:28.512763+00:00,5165.08,307.69
2026-01-30 20:31:33.159877+00:00,5166.49,309.1
2026-01-30 21:48:57.678865+00:00,5167.81,310.42
2026-01-30 21:53:11.543446+00:00,5167.51,310.12
2026-01-30 21:59:11.027231+00:00,5167.24,309.85
2026-01-30 22:02:31.241189+00:00,5167.08,309.69
2026-02-02 12:03:12.815108+00:00,5107.24,249.85
2026-02-02 12:16:24.858349+00:00,5115.29,257.9
2026-02-02 12:36:47.715614+00:00,5122.24,264.85
2026-02-02 12:56:22.335163+00:00,5123.92,266.53
2026-02-02 13:16:23.234225+00:00,5122.04,264.65
2026-02-02 13:36:23.227037+00:00,5119.41,262.02
2026-02-02 13:56:42.302329+00:00,5130.13,272.74
2026-02-02 14:16:25.854397+00:00,5136.17,278.78
2026-02-02 14:36:33.591701+00:00,5149.44,292.05
2026-02-02 15:56:29.274120+00:00,5169.77,312.38
2026-02-02 16:16:32.479648+00:00,5173.69,316.3
2026-02-02 16:36:37.696220+00:00,5174.49,317.1
2026-02-02 16:56:24.866760+00:00,5174.25,316.86
2026-02-02 17:24:02.441375+00:00,5175.93,318.54
2026-02-02 17:39:45.268055+00:00,5177.56,320.17
2026-02-02 19:04:41.128046+00:00,5182.76,325.37
2026-02-02 19:20:25.252888+00:00,5182.23,324.84
2026-02-02 21:16:29.546659+00:00,5182.56,325.17
2026-02-02 21:36:32.573877+00:00,5182.54,325.15
